Accession;Gene;Protein;Disease/Condition;Sample;Change;Authorship;Study
P19652;ORM2;Alpha-1-acid glycoprotein 2 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q9UBX7;KLK11;Kallikrein-11 ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P07858;CTSB;Cathepsin B ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8N6Q3;CD177;CD177 antigen ;Asthenozoospermia;Seminal plasma;+;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O15230;LAMA5;Laminin subunit alpha-5 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O43707;ACTN4;Alpha-actinin-4 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P55072;VCP;Transitional endoplasmic reticulum ATPase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P35527;KRT9;Keratin, type I cytoskeletal 9 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8WXH0;SYNE2;Nesprin-2 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P54802;NAGLU;Alpha-N-acetylglucosaminidase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P50395;GDI2;Rab GDP dissociation inhibitor beta ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O75882;ATRN;Attractin ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8N3J2;METTL4;Methyltransferase-like protein 4 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q99497;PARK7;Protein deglycase DJ-1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P21399;ACO1;Cytoplasmic aconitate hydratase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P06733;ENO1;Alpha-enolase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q5JTC6;AMER1;APC membrane recruitment protein 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P11717;IGF2R;Cation-independent mannose-6-phosphate receptor ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P98155;VLDLR;Very low-density lipoprotein receptor ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q9NR99;MXRA5;Matrix-remodeling-associated protein 5 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P02794;FTH1;Ferritin heavy chain ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P11216;PYGB;Glycogen phosphorylase, brain form ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P35579;MYH9;Myosin-9 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O00462;MANBA;Beta-mannosidase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P01023;A2M;Alpha-2-macroglobulin ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P00390;GSR;Glutathione reductase, mitochondrial ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q99523;SORT1;Sortilin ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q9H2U9;ADAM7;Disintegrin and metalloproteinase domain-containing protein 7 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q13228;SELENBP1;Selenium-binding protein 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P80723;BASP1;Brain acid soluble protein 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P13639;EEF2;Elongation factor 2 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P22314;UBA1;Ubiquitin-like modifier-activating enzyme 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P02751;FN1;Fibronectin ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P16278;GLB1;Beta-galactosidase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8WUM4;PDCD6IP;Programmed cell death 6-interacting protein ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P55786;NPEPPS;Puromycin-sensitive aminopeptidase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P49721;PSMB2;Proteasome subunit beta type-2 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P27487;DPP4;Dipeptidyl peptidase 4 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8NFZ8;CADM4;Cell adhesion molecule 4 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8NFP4;MDGA1;MAM domain-containing glycosylphosphatidylinositol anchor protein 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P49327;FASN;Fatty acid synthase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P19801;AOC1;Amiloride-sensitive amine oxidase [copper-containing] ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P17900;GM2A;Ganglioside GM2 activator ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q9Y3R5;DOPEY2;Protein dopey-2;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P68104;EEF1A1;Elongation factor 1-alpha 1 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P15144;ANPEP;Aminopeptidase N ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P55268;LAMB2;Laminin subunit beta-2 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q8NHP8;PLBD2;Putative phospholipase B-like 2 ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q96KP4;CNDP2;Cytosolic non-specific dipeptidase ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
P12821;ACE;Angiotensin-converting enzyme ;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
O00339;MATN2;Matrilin-2;Asthenozoospermia;Seminal plasma;-;Wang et al. 2009;Proteomic analysis of seminal plasma from asthenozoospermia patients reveals proteins that affect oxidative stress responses and semen quality
Q96MF6;COQ10A;Coenzyme Q 10;Asthenozoospermia;Seminal plasma;-;Abdul-Rasheed et al. 2010;Coenzyme Q10 and oxidative stress markers in seminal plasma of Iraqi patients with male infertility
Q9P0G3;KLK14 ;Kallikrein-14 ;Asthenozoospermia;Seminal plasma;-;Emami et al. 2009;Association between kallikrein-related peptidases (KLKs) and macroscopic indicators of semen analysis: their relation to sperm motility
O00584;RNASET2;Ribonuclease T2;Asthenozoospermia;Seminal plasma;+;Liu et al. 2012;RNASET2 in human spermatozoa and seminal plasma: a novel relevant indicator for asthenozoospermia
P01375;TNF;Tumor necrosis factor alpha;Asthenozoospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P05231;IL6;Interleukin-6;Asthenozoospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
Q9HD89;RETN;Resistin;Asthenozoospermia;Seminal plasma;+;Moretti et al. 2014;Resistin, interleukin-6, tumor necrosis factor-alpha, and human semen parameters in the presence of leukocytospermia, smoking habit, and varicocele
P01215;CGA;Choriogonadotropin alpha chain;Asthenozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Asthenozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Asthenozoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P10909 ;CLU;Clusterin;Azoospermia;Seminal plasma;-;Starita-Geribaldi et al. 2003;Development of narrow immobilized pH gradients covering one pH unit for human seminal plasma proteomicanalysis
Q15668;NPC2;Epididymal secretory protein E1;Azoospermia;Seminal plasma;-;Starita-Geribaldi et al. 2003;Development of narrow immobilized pH gradients covering one pH unit for human seminal plasma proteomicanalysis
P54107 ;CRISP1;Cysteine-rich secretory protein 1;Azoospermia;Seminal plasma;-;Starita-Geribaldi et al. 2003;Development of narrow immobilized pH gradients covering one pH unit for human seminal plasma proteomicanalysis
P02743 ;APCS;Serum amyloid P-component;Azoospermia;Seminal plasma;-;Starita-Geribaldi et al. 2003;Development of narrow immobilized pH gradients covering one pH unit for human seminal plasma proteomicanalysis
P00441 ;SOD1;Superoxide dismutase [Cu-Zn];Azoospermia;Seminal plasma;-;Starita-Geribaldi et al. 2003;Development of narrow immobilized pH gradients covering one pH unit for human seminal plasma proteomicanalysis
P15309;PAP;Prostatic acid phosphatase;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;"Proteomic analysis of seminal plasma in men with different spermatogenic impairment
"
P02751;FN1;Fibronectin;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
P25788;PSMA3;proteasome subunit alpha type-3 ;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
P61769;B2M;Beta-2-microglobulin;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
Q08380;LGALS3BP;galectin-3-binding protein ;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
P12273;PIP ;prolactin-inducible protein ;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
Q96KP4;CNDP2;Cytosolic non-specific dipeptidase;Azoospermia;Seminal plasma;+;Davalieva et al. 2012;Proteomic analysis of seminal plasma in men with different spermatogenic impairment 
Q96MF6;COQ10A;Coenzyme Q 10;Azoospermia;Seminal plasma;-;Abdul-Rasheed et al. 2010;Coenzyme Q10 and oxidative stress markers in seminal plasma of Iraqi patients with male infertility
P01215;CGA;Choriogonadotropin alpha chain;Azoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Azoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
P01215;CGA;Choriogonadotropin alpha chain;Azoospermia;Seminal plasma;-;Zenzmaier et al. 2011;Decreased levels of genuine large free hCG alpha in men presenting with abnormal semen analysis
Q6P9H5 ;GIMAP6;GTPase IMAP family member 6;Benign Prostate Hyperplasia;Seminal plasma;-;Neuhaus et al. 2013;Seminal Plasma as a Source of Prostate Cancer Peptide Biomarker Candidates for Detection of Indolent and Advanced Disease
P10145;CXCL8;Interleukin-8;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P22362;CCL1;C-C motif chemokine 1;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
O00626;CCL22;C-C motif chemokine 22;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
Q92583;CCL17;C-C motif chemokine 17;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P13236;CCL4;C-C motif chemokine 4;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P10147;CCL3;C-C motif chemokine 3;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P01583;IL1A;Interleukin-1 alpha;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P01584;IL1B;Interleukin-1 beta;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P05231;IL6;Interleukin-6;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P22301;IL10;Interleukin-10;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P29459;IL12A;Interleukin-12 subunit alpha;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P29460;IL12B;Interleukin-12 subunit beta;Benign Prostate Hyperplasia;Seminal plasma;+;Penna et al. 2006;Seminal Plasma Cytokines and Chemokines in Prostate Inflammation: Interleukin 8 as a Predictive Biomarker in Chronic Prostatitis/Chronic Pelvic Pain Syndrome and Benign Prostatic Hyperplasia
P15309 ;ACPP ;Prostatic acid phosphatase;Bilateral anarchidy;Seminal plasma;-;Starita-Geribaldi et al. 2001;Mapping of seminal plasma proteins by two-dimensional gel electrophoresis in men with normal and impaired spermatogenesis
